Index,CO2,Temperature,Humidity,Pressure,Gas
1,1067,23.2258984375,76.02582261547487,1005.4201479411142,1268
2,1069,23.2286328125,75.92140930176659,1005.4227333957176,568
3,1069,23.2368359375,75.78304856232238,1005.4322489797731,568
4,1070,23.24640625,75.76373740398952,1005.4316216698146,568
5,1073,23.2512890625,75.72964990334073,1005.4305833571661,710
6,1075,23.2548046875,75.68834784620421,1005.4220946191635,858
7,1077,23.2548046875,75.68834784620421,1005.4203352835907,1033
8,1080,23.253828125,75.67421241229022,1005.4135056569187,1228
9,1081,23.253828125,75.63231531002319,1005.4064683273995,1409
10,1081,23.2548046875,75.61153752767495,1005.4045012671344,1581
11,1081,23.2563671875,75.5838814329795,1005.4052244954996,1755
12,1083,23.2548046875,75.57663216244498,1005.4062606019672,1923
13,1084,23.2548046875,75.55569146808293,1005.3957045942028,2086
14,1084,23.25265625,75.55532222237527,1005.3905317679387,2254
15,1084,23.36125,75.58795895761276,1005.3888681996534,2706
16,1084,23.4829296875,75.47627366666866,1005.3938575439738,3027
17,1084,23.5895703125,75.28532568467261,1005.4065832884019,3311
18,1084,23.6801953125,75.08479510428319,1005.4096745109058,3554
19,1084,23.7559765625,74.87490842019098,1005.4138105767344,3794
20,1084,23.820234375,74.67713169133508,1005.413713139608,4001
21,1084,23.871796875,74.47038498272609,1005.4110523736344,4218
22,1084,23.9141796875,74.27613136102805,1005.4131789128396,4438
23,1087,23.94953125,74.10165070449975,1005.4147032696151,4636
24,1087,23.9770703125,73.92596297527302,1005.414388439383,4855
25,1087,24.0020703125,73.78462300452287,1005.4258921747185,5036
26,1088,24.021796875,73.66325035730458,1005.4202160157053,5218
27,1088,24.0383984375,73.50679129731053,1005.4219078144923,5409
28,1088,24.05265625,73.41230975170686,1005.4128322128697,5547
29,1087,24.065546875,73.29688284234652,1005.410393019977,5714
30,1087,24.0758984375,73.19490906424258,1005.4074461160361,5887
31,1087,24.0825390625,73.09235185455432,1005.4179862426448,6020
32,1088,24.089375,73.00368796401378,1005.4165050822128,6133
33,1088,24.09484375,72.92173215902268,1005.4110920669879,6342
34,1088,24.099921875,72.8535455221791,1005.4156287094584,6419
35,1087,24.1040234375,72.78521416354329,1005.4150920167178,6507
36,1087,24.1079296875,72.73066885949736,1005.4107219156668,6664
37,1087,24.1118359375,72.67613631798429,1005.4063516941866,6813
38,1087,24.1153515625,72.62155079027833,1005.4084081267163,6879
39,1087,24.1200390625,72.58096511408013,1005.4211329530403,7009
40,1087,24.1258984375,72.53368965078357,1005.4145772293075,7126
41,1087,24.130390625,72.50687168168946,1005.412898274317,7254
42,1087,24.13390625,72.45232559314059,1005.4114310359884,7373
43,1087,24.1372265625,72.42531988836242,1005.4096537464366,7476
44,1087,24.141328125,72.37778028850636,1005.4144015772523,7556
45,1087,24.1438671875,72.36442890848939,1005.4113842597965,7657
46,1084,24.146796875,72.32359229952462,1005.4125103884638,7776
47,1084,24.14953125,72.31716391341062,1005.404517611034,7833
48,1084,24.15109375,72.29676521602943,1005.4034738334963,7876
49,1084,24.153046875,72.24889125964262,1005.4118589332865,7965
50,1084,24.1540234375,72.2352850195139,1005.4134088072732,8116
51,1084,24.156171875,72.22187610715928,1005.413294934346,8093
52,1084,24.15890625,72.18791504456362,1005.4141109595121,8194
53,1084,24.1614453125,72.16080868696159,1005.405807921266,8290
54,1084,24.1628125,72.13350909954397,1005.404454075956,8363
55,1084,24.1653515625,72.13393457168763,1005.4084836700396,8454
56,1084,24.1653515625,72.10640907197886,1005.3961509072942,8513
57,1084,24.1659375,72.07898506926927,1005.4023662767858,8581
58,1083,24.168671875,72.07944303301656,1005.4049439811813,8713
59,1083,24.1727734375,72.04573163474498,1005.413215126535,8749
60,1083,24.177265625,72.03960470944945,1005.409773245846,8867
61,1083,24.1809765625,72.03334712277498,1005.4139007118355,8858
62,1083,24.183515625,71.99938060550267,1005.407359011964,8913
63,1083,24.1856640625,71.98598497072715,1005.4107685896216,9045
64,1083,24.1860546875,71.97229594560056,1005.4096266328712,9103
65,1083,24.1860546875,71.94478967249724,1005.4113885130987,9094
66,1083,24.1872265625,71.94498571120792,1005.4150101676216,9192
67,1083,24.18859375,71.93833835399424,1005.40132292115,9231
68,1083,24.1891796875,71.90405912829877,1005.4075384596783,9427
69,1083,24.1907421875,71.90432041398844,1005.4064943492198,9516
70,1083,24.19171875,71.89760887292518,1005.4009965598115,9543
71,1083,24.194453125,71.8843169800395,1005.4035740474045,9580
72,1083,24.19640625,71.87089520772378,1005.3961021604293,9651
73,1083,24.1989453125,71.85757213618739,1005.3930838915511,9733
74,1083,24.19953125,71.84392335984957,1005.4010614106239,9756
75,1083,24.2005078125,71.83034067668589,1005.3885158250813,9761
76,1083,24.20265625,71.83069971451317,1005.3901633407976,9823
77,1083,24.205,71.81734623623032,1005.3956446578684,9903
78,1083,24.206171875,71.79692584472417,1005.3992662898133,9990
79,1083,24.2071484375,71.79708899585854,1005.3920063547071,9961
80,1083,24.2083203125,71.79728477936635,1005.3885802196128,10037
81,1083,24.2083203125,71.79041310457963,1005.3868182795861,10072
82,1083,24.20734375,71.77650726637094,1005.3905543647038,10114
83,1083,24.2091015625,71.75618835342271,1005.3862961194034,10156
84,1083,24.2106640625,71.75644929564257,1005.3817278946324,10211
85,1083,24.2122265625,71.74983978344932,1005.3789215876448,10229
86,1083,24.2130078125,71.73622994464695,1005.3819233062175,10303
87,1082,24.214765625,71.7365234557808,1005.3829508284839,10335
88,1082,24.214375,71.70898008100899,1005.3823309450528,10417
89,1082,24.2137890625,71.70888227081946,1005.374353301992,10429
90,1082,24.2149609375,71.7090778917834,1005.3779748966843,10448
91,1082,24.215546875,71.69543786256467,1005.3736188393705,10461
92,1082,24.216328125,71.70243708478493,1005.376620555002,10526
93,1082,24.219453125,71.70295872333374,1005.3710077645866,10539
94,1082,24.2227734375,71.68290691736723,1005.3780386618976,10611
95,1082,24.2231640625,71.68297211203716,1005.371610616053,10624
96,1082,24.2253125,71.67646239009731,1005.3732579157688,10731
97,1082,24.226875,71.67672315905378,1005.3845473453224,10704
98,1082,24.228828125,71.67704912609474,1005.3894087176809,10731
99,1082,24.23234375,71.68450426157463,1005.3844155751669,10806
100,1082,24.233515625,71.6503600077186,1005.3950852328569,10778
101,1082,24.233515625,71.63662553609419,1005.4038952801307,10792
102,1082,24.23703125,71.63721207764682,1005.4006641240684,10875
103,1082,24.2395703125,71.63076871366272,1005.3923591456689,10895
104,1082,24.2391796875,71.6307035441633,1005.3899772511518,10875
105,1082,24.2395703125,71.61016900369488,1005.3888350944882,10958
106,1082,24.2395703125,71.61016900369488,1005.3835490183357,11029
107,1082,24.2380078125,71.61677472311975,1005.3704974370806,11001
108,1082,24.237421875,71.60981064908592,1005.3730916883578,11058
109,1082,24.238203125,71.61680730293702,1005.3796174715703,11079
110,1082,24.2391796875,71.59637176781612,1005.3846911780425,11087
111,1082,24.239765625,71.59646948833213,1005.3803348991626,11181
112,1082,24.2376171875,71.58924547603,1005.373401618219,11210
113,1082,24.23703125,71.58914776442145,1005.3742338465396,11218
114,1082,24.2364453125,71.5753192978946,1005.3733040555568,11270
115,1082,24.2391796875,71.57577522451817,1005.3758810578429,11277
116,1083,24.242109375,71.5693986035899,1005.377005946711,11337
117,1083,24.2430859375,71.5489672750653,1005.3803176278691,11284
118,1083,24.2426953125,71.555766661353,1005.3814598017833,11345
119,1085,24.2430859375,71.56269650227671,1005.3873657674088,11352
120,1085,24.2426953125,71.56263137555146,1005.3867459032713,11420
121,1086,24.2426953125,71.555766661353,1005.3814598017833,11367
122,1086,24.2454296875,71.54249366136258,1005.3787506645546,11443
123,1086,24.24640625,71.5563853328575,1005.3855864390472,11428
124,1087,24.246796875,71.54958590617346,1005.3844442544753,11443
125,1087,24.2477734375,71.54974870772429,1005.3842318556501,11474
126,1087,24.2505078125,71.54334017667335,1005.3832847018899,11521
127,1087,24.2534375,71.55755761675084,1005.3808853703064,11528
128,1087,24.2555859375,71.54418673581418,1005.3737221450377,11575
129,1087,24.2567578125,71.53065382003463,1005.3614851109219,11615
130,1089,24.2575390625,71.52392021267991,1005.3662489329164,11575
131,1089,24.2602734375,71.52437598468407,1005.3705878133984,11726
132,1089,24.259296875,71.51734956278979,1005.3725623699481,11646
133,1089,24.2587109375,71.52411554198328,1005.3716326065237,11662
134,1089,24.2606640625,71.51071398518326,1005.3659214071232,11718
135,1089,24.2602734375,71.51064888288542,1005.3653015700179,11710
136,1090,24.259296875,71.51734956278979,1005.3619898993924,11726
137,1090,24.2622265625,71.50411113881056,1005.3666386699156,11775
138,1090,24.2628125,71.5042087875292,1005.3658063365629,11783
